HR+D1039_1:101,
968.383,76.69
968.811,71.69
969.239,57.69
969.666,79.69
970.094,88.69
970.522,91.69
970.949,84.69
971.377,82.69
971.804,75.69
972.232,84.69
972.659,77.69
973.087,63.69
973.514,85.69
973.941,89.69
974.369,79.69
974.796,80.69
975.223,91.69
975.651,95.69
976.078,83.69
976.505,81.69
976.932,69.69
977.359,97.69
977.786,91.69
978.214,87.69
978.641,91.69
979.068,84.69
979.495,65.69
979.922,88.69
980.349,77.69
980.776,83.69
981.202,69.69
981.629,91.69
982.056,83.69
982.483,83.69
982.91,74.69
983.337,90.69
983.763,88.69
984.19,86.69
984.617,81.69
985.043,75.69
985.47,85.69
985.897,80.69
986.323,99.69
986.75,90.69
987.176,76.69
987.603,86.69
988.029,95.69
988.456,82.69
988.882,73.69
989.308,79.69
989.735,89.69
990.161,77.69
990.587,79.69
991.014,69.69
991.44,108.69
991.866,81.69
992.292,85.69
992.719,86.69
993.145,64.69
993.571,85.69
993.997,76.69
994.423,75.69
994.849,84.69
995.275,81.69
995.701,71.69
996.127,83.69
996.553,81.69
996.979,95.69
997.405,94.69
997.83,85.69
998.256,72.69
998.682,85.69
999.108,83.69
999.534,91.69
999.959,59.69
1000.385,84.69
1000.811,93.69
1001.236,75.69
1001.662,83.69
1002.087,67.69
1002.513,92.69
1002.938,77.69
1003.364,85.69
1003.789,63.69
1004.215,76.69
1004.64,91.69
1005.066,74.69
1005.491,93.69
1005.916,78.69
1006.342,83.69
1006.767,79.69
1007.192,83.69
1007.617,96.69
1008.042,83.69
1008.468,72.69
1008.893,83.69
1009.318,72.69
1009.743,82.69
1010.168,74.69
1010.593,73.69
1011.018,78.69
1011.443,77.69
1011.868,79.69
1012.293,72.69
1012.718,64.69
1013.143,87.69
1013.567,95.69
1013.992,79.69
1014.417,79.69
1014.842,77.69
1015.267,87.69
1015.691,80.69
1016.116,75.69
1016.541,66.69
1016.965,71.69
1017.39,96.69
1017.814,76.69
1018.239,80.69
1018.663,77.69
1019.088,71.69
1019.512,76.69
1019.937,87.69
1020.361,106.69
1020.785,75.69
1021.21,81.69
1021.634,71.69
1022.058,95.69
1022.483,89.69
1022.907,74.69
1023.331,89.69
1023.755,72.69
1024.179,89.69
1024.604,73.69
1025.028,55.69
1025.452,79.69
1025.876,91.69
1026.3,97.69
1026.724,82.69
1027.148,96.69
1027.572,87.69
1027.996,83.69
1028.42,80.69
1028.843,68.69
1029.267,72.69
1029.691,76.69
1030.115,84.69
1030.539,79.69
1030.962,68.69
1031.386,86.69
1031.81,75.69
1032.233,84.69
1032.657,91.69
1033.08,76.69
1033.504,86.69
1033.927,82.69
1034.351,88.69
1034.774,74.69
1035.198,77.69
1035.621,66.69
1036.045,70.69
1036.468,82.69
1036.891,94.69
1037.315,96.69
1037.738,92.69
1038.161,85.69
1038.584,90.69
1039.008,69.69
1039.431,94.69
1039.854,93.69
1040.277,76.69
1040.7,81.69
1041.123,85.69
1041.546,78.69
1041.969,77.69
1042.392,68.69
1042.815,88.69
1043.238,90.69
1043.661,83.69
1044.084,84.69
1044.507,78.69
1044.93,77.69
1045.352,83.69
1045.775,87.69
1046.198,87.69
1046.621,100.69
1047.043,94.69
1047.466,79.69
1047.889,78.69
1048.311,80.69
1048.734,84.69
1049.156,74.69
1049.579,87.69
1050.001,82.69
1050.424,77.69
1050.846,93.69
1051.269,85.69
1051.691,72.69
1052.113,80.69
1052.536,73.69
1052.958,86.69
1053.38,85.69
1053.802,86.69
1054.225,88.69
1054.647,78.69
1055.069,80.69
1055.491,79.69
1055.913,75.69
1056.335,88.69
1056.757,82.69
1057.179,89.69
1057.601,87.69
1058.023,87.69
1058.445,89.69
1058.867,81.69
1059.289,84.69
1059.711,78.69
1060.133,75.69
1060.555,83.69
1060.976,86.69
1061.398,88.69
1061.82,102.69
1062.241,90.69
1062.663,88.69
1063.085,80.69
1063.506,82.69
1063.928,82.69
1064.35,73.69
1064.771,76.69
1065.193,78.69
1065.614,77.69
1066.035,61.69
1066.457,89.69
1066.878,83.69
1067.3,81.69
1067.721,89.69
1068.142,81.69
1068.564,85.69
1068.985,75.69
1069.406,73.69
1069.827,62.69
1070.248,65.69
1070.67,83.69
1071.091,68.69
1071.512,75.69
1071.933,80.69
1072.354,69.69
1072.775,95.69
1073.196,84.69
1073.617,81.69
1074.038,89.69
1074.459,86.69
1074.88,77.69
1075.3,86.69
1075.721,81.69
1076.142,76.69
1076.563,83.69
1076.983,85.69
1077.404,90.69
1077.825,71.69
1078.246,82.69
1078.666,81.69
1079.087,79.69
1079.507,79.69
1079.928,80.69
1080.348,88.69
1080.769,80.69
1081.189,80.69
1081.61,74.69
1082.03,68.69
1082.451,87.69
1082.871,87.69
1083.291,66.69
1083.711,83.69
1084.132,78.69
1084.552,87.69
1084.972,81.69
1085.392,88.69
1085.813,87.69
1086.233,86.69
1086.653,89.69
1087.073,85.69
1087.493,76.69
1087.913,77.69
1088.333,94.69
1088.753,91.69
1089.173,73.69
1089.593,87.69
1090.013,81.69
1090.433,73.69
1090.852,75.69
1091.272,93.69
1091.692,85.69
1092.112,82.69
1092.531,89.69
1092.951,91.69
1093.371,91.69
1093.79,89.69
1094.21,73.69
1094.63,92.69
1095.049,81.69
1095.469,75.69
1095.888,106.69
1096.308,79.69
1096.727,99.69
1097.146,84.69
1097.566,82.69
1097.985,66.69
1098.405,79.69
1098.824,81.69
1099.243,82.69
1099.662,84.69
1100.082,83.69
1100.501,76.69
1100.92,82.69
1101.339,86.69
1101.758,85.69
