HR+D1039_1:101,
373.646,87.69
374.109,94.69
374.572,86.69
375.035,77.69
375.497,84.69
375.96,80.69
376.423,74.69
376.886,70.69
377.349,81.69
377.811,89.69
378.274,99.69
378.737,101.69
379.199,95.69
379.662,81.69
380.125,83.69
380.587,88.69
381.05,72.69
381.512,86.69
381.975,87.69
382.437,88.69
382.9,96.69
383.362,84.69
383.825,77.69
384.287,101.69
384.75,74.69
385.212,96.69
385.674,83.69
386.136,89.69
386.599,81.69
387.061,102.69
387.523,87.69
387.985,78.69
388.447,80.69
388.91,79.69
389.372,69.69
389.834,90.69
390.296,76.69
390.758,92.69
391.22,91.69
391.682,87.69
392.144,78.69
392.606,97.69
393.068,86.69
393.529,87.69
393.991,75.69
394.453,75.69
394.915,83.69
395.377,98.69
395.838,96.69
396.3,77.69
396.762,99.69
397.224,88.69
397.685,103.69
398.147,85.69
398.608,92.69
399.07,90.69
399.531,103.69
399.993,86.69
400.454,89.69
400.916,91.69
401.377,86.69
401.839,88.69
402.3,86.69
402.762,90.69
403.223,93.69
403.684,101.69
404.145,91.69
404.607,81.69
405.068,79.69
405.529,85.69
405.99,75.69
406.451,90.69
406.913,82.69
407.374,79.69
407.835,86.69
408.296,75.69
408.757,90.69
409.218,72.69
409.679,82.69
410.14,91.69
410.601,81.69
411.062,86.69
411.522,87.69
411.983,86.69
412.444,91.69
412.905,101.69
413.366,80.69
413.826,91.69
414.287,112.69
414.748,120.69
415.208,110.69
415.669,95.69
416.13,91.69
416.59,99.69
417.051,94.69
417.511,103.69
417.972,103.69
418.432,108.69
418.893,102.69
419.353,107.69
419.814,84.69
420.274,101.69
420.734,97.69
421.195,94.69
421.655,96.69
422.115,93.69
422.576,99.69
423.036,95.69
423.496,103.69
423.956,88.69
424.416,91.69
424.876,107.69
425.336,100.69
425.797,88.69
426.257,99.69
426.717,92.69
427.177,82.69
427.637,79.69
428.097,94.69
428.556,91.69
429.016,98.69
429.476,92.69
429.936,97.69
430.396,90.69
430.856,80.69
431.315,104.69
431.775,95.69
432.235,98.69
432.694,87.69
433.154,92.69
433.614,92.69
434.073,78.69
434.533,84.69
434.993,85.69
435.452,93.69
435.912,90.69
436.371,79.69
436.83,70.69
437.29,76.69
437.749,92.69
438.209,92.69
438.668,76.69
439.127,98.69
439.587,87.69
440.046,62.69
440.505,81.69
440.964,86.69
441.424,85.69
441.883,89.69
442.342,78.69
442.801,95.69
443.26,90.69
443.719,95.69
444.178,112.69
444.637,99.69
445.096,85.69
445.555,83.69
446.014,86.69
446.473,83.69
446.932,83.69
447.391,99.69
447.849,93.69
448.308,95.69
448.767,82.69
449.226,85.69
449.685,96.69
450.143,96.69
450.602,81.69
451.061,80.69
451.519,89.69
451.978,61.69
452.436,72.69
452.895,78.69
453.353,94.69
453.812,104.69
454.27,71.69
454.729,90.69
455.187,88.69
455.646,79.69
456.104,86.69
456.562,93.69
457.021,80.69
457.479,92.69
457.937,91.69
458.395,82.69
458.854,83.69
459.312,89.69
459.77,77.69
460.228,90.69
460.686,80.69
461.144,86.69
461.602,91.69
462.06,87.69
462.518,87.69
462.976,89.69
463.434,83.69
463.892,66.69
464.35,94.69
464.808,86.69
465.266,88.69
465.724,72.69
466.181,82.69
466.639,82.69
467.097,78.69
467.555,85.69
468.012,106.69
468.47,80.69
468.928,85.69
469.385,101.69
469.843,104.69
470.3,75.69
470.758,87.69
471.215,81.69
471.673,80.69
472.13,88.69
472.588,81.69
473.045,84.69
473.503,92.69
473.96,89.69
474.417,99.69
474.875,97.69
475.332,99.69
475.789,95.69
476.246,96.69
476.704,77.69
477.161,80.69
477.618,81.69
478.075,89.69
478.532,101.69
478.989,77.69
479.446,89.69
479.903,85.69
480.36,89.69
480.817,84.69
481.274,90.69
481.731,84.69
482.188,83.69
482.645,95.69
483.102,95.69
483.558,84.69
484.015,87.69
484.472,84.69
484.929,77.69
485.385,88.69
485.842,99.69
486.299,107.69
486.755,98.69
487.212,82.69
487.668,81.69
488.125,84.69
488.582,98.69
489.038,72.69
489.494,79.69
489.951,92.69
490.407,89.69
490.864,88.69
491.32,88.69
491.776,82.69
492.233,82.69
492.689,77.69
493.145,87.69
493.602,89.69
494.058,95.69
494.514,83.69
494.97,82.69
495.426,88.69
495.882,87.69
496.338,87.69
496.794,90.69
497.251,87.69
497.707,82.69
498.163,85.69
498.618,93.69
499.074,85.69
499.53,90.69
499.986,90.69
500.442,85.69
500.898,82.69
501.354,100.69
501.809,68.69
502.265,82.69
502.721,82.69
503.177,82.69
503.632,72.69
504.088,92.69
504.543,83.69
504.999,89.69
505.455,82.69
505.91,87.69
506.366,97.69
506.821,97.69
507.277,95.69
507.732,82.69
508.187,88.69
508.643,79.69
509.098,81.69
509.553,72.69
510.009,87.69
510.464,87.69
510.919,88.69
511.375,81.69
511.83,89.69
512.285,92.69
512.74,88.69
513.195,93.69
513.65,107.69
514.105,81.69
514.56,102.69
515.015,94.69
515.47,108.69
515.925,76.69
516.38,70.69
516.835,91.69
517.29,97.69
517.745,98.69
518.2,76.69
518.655,87.69
519.109,92.69
519.564,97.69
520.019,85.69
520.474,92.69
520.928,73.69
521.383,90.69
521.838,96.69
522.292,85.69
522.747,80.69
523.201,86.69
523.656,87.69
524.11,90.69
524.565,69.69
525.019,76.69
525.474,93.69
525.928,87.69
526.382,79.69
526.837,99.69
527.291,91.69
527.745,76.69
528.2,91.69
528.654,91.69
529.108,78.69
529.562,105.69
530.016,84.69
530.47,93.69
530.925,79.69
531.379,72.69
531.833,75.69
532.287,82.69
532.741,87.69
533.195,96.69
533.649,95.69
534.103,70.69
534.556,97.69
535.01,83.69
535.464,84.69
535.918,99.69
536.372,77.69
536.826,93.69
537.279,90.69
537.733,75.69
538.187,91.69
538.64,89.69
539.094,83.69
539.548,89.69
540.001,95.69
540.455,80.69
540.908,76.69
541.362,79.69
541.815,89.69
542.269,93.69
542.722,72.69
543.175,97.69
543.629,87.69
544.082,91.69
544.536,89.69
544.989,91.69
545.442,91.69
545.895,92.69
546.349,96.69
546.802,77.69
547.255,95.69
547.708,101.69
548.161,99.69
548.614,89.69
549.067,71.69
549.52,95.69
549.973,83.69
550.426,81.69
550.879,87.69
551.332,89.69
551.785,95.69
552.238,95.69
552.691,89.69
553.144,98.69
553.596,87.69
554.049,88.69
554.502,91.69
554.955,97.69
555.407,85.69
555.86,85.69
556.313,77.69
556.765,93.69
557.218,86.69
557.67,84.69
558.123,104.69
558.576,90.69
559.028,95.69
559.48,86.69
559.933,106.69
560.385,82.69
560.838,77.69
561.29,84.69
561.742,79.69
562.195,102.69
562.647,97.69
563.099,97.69
563.551,89.69
564.004,84.69
564.456,94.69
564.908,81.69
565.36,88.69
565.812,97.69
566.264,92.69
566.716,79.69
567.168,88.69
567.62,91.69
568.072,92.69
568.524,82.69
568.976,90.69
569.428,90.69
569.88,82.69
570.332,78.69
570.784,82.69
571.235,100.69
